id,category,name,mandatory,scope,normative_source,criteria_ref,description,fixture_id,test_file,artifact_path,tolerance_id,decision_refs,allowed_terminal_statuses,current_status,numeric_parity,evidence,notes
F001,estimator,Static 2x2 ATT,true,core,R did 2.5.1,F001,Minimal att_gt parity,F001,tests/stata/test-f001.do,tests/fixtures/parity/f001,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f001/metadata/manifest.json;tests/stata/test-f001.do;reports/implementation-status.md,R fixture generated and Stata scaffold comparison passed on Stata 17 MP; durable evidence recorded in implementation status
F002,estimator,Balanced staggered panel,true,core,R did 2.5.1,F002,Multi group-time ATT parity,F002,tests/stata/test-f002.do,tests/fixtures/parity/f002,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f002/metadata/manifest.json;tests/stata/test-f002.do;reports/implementation-status.md,"Balanced staggered no-covariate reg ATT(g,t) fixture passed against R did 2.5.1 on Stata 17 MP; methods and covariates covered by separate rows"
F003,aggregation,Simple aggregation,true,core,R did 2.5.1,F003,aggte simple parity,F003,tests/stata/test-f003.do,tests/fixtures/parity/f003,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f003/metadata/manifest.json;tests/stata/test-f003.do;reports/implementation-status.md,Simple no-covariate reg aggregation overall ATT and analytical SE fixture passed against R did 2.5.1 on Stata 17 MP
F004,aggregation,Group aggregation,true,core,R did 2.5.1,F004,aggte group parity,F004,tests/stata/test-f004.do,tests/fixtures/parity/f004,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f004/metadata/manifest.json;tests/stata/test-f004.do;reports/implementation-status.md,Group no-covariate reg aggregation effects overall ATT and analytical SE fixture passed against R did 2.5.1 on Stata 17 MP
F005,aggregation,Calendar aggregation,true,core,R did 2.5.1,F005,aggte calendar parity,F005,tests/stata/test-f005.do,tests/fixtures/parity/f005,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f005/metadata/manifest.json;tests/stata/test-f005.do;reports/implementation-status.md,Calendar no-covariate reg aggregation effects overall ATT and analytical SE fixture passed against R did 2.5.1 on Stata 17 MP
F006,aggregation,Dynamic aggregation,true,core,R did 2.5.1,F006,Event-time aggregation parity,F006,tests/stata/test-f006.do,tests/fixtures/parity/f006,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f006/metadata/manifest.json;tests/stata/test-f006.do;reports/implementation-status.md,Dynamic no-covariate reg aggregation event-time effects overall ATT and analytical SE fixture passed against R did 2.5.1 on Stata 17 MP; window options remain covered by F025
F007,estimator,Base periods,true,core,R did 2.5.1,F007,Varying and universal base periods,F007,tests/stata/test-f007.do,tests/fixtures/parity/f007,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f007/metadata/manifest.json;tests/stata/test-f007.do;reports/implementation-status.md,Base period varying/universal point and analytical-SE fixture plus invalid-option rejection passed against R did 2.5.1 on Stata 17 MP
F008,estimator,Control groups,true,core,R did 2.5.1,F008,Never-treated and not-yet-treated controls,F008,tests/stata/test-f008.do,tests/fixtures/parity/f008,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f008/metadata/manifest.json;tests/stata/test-f008.do;reports/implementation-status.md,Control group nevertreated/notyettreated point and analytical-SE fixture passed against R did 2.5.1 on Stata 17 MP; notyet path materially differs in fixture
F009,estimator,Anticipation,true,core,R did 2.5.1,F009,Anticipation period semantics,F009,tests/stata/test-f009.do,tests/fixtures/parity/f009,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f009/metadata/manifest.json;tests/stata/test-f009.do;reports/implementation-status.md,Anticipation 0/1 point and analytical-SE fixture plus negative-option rejection passed against R did 2.5.1 on Stata 17 MP
F010,estimator,Estimation methods,true,core,R did 2.5.1,F010,dr reg ipw and aliases,F010,tests/stata/test-f010.do,tests/fixtures/parity/f010,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f010/metadata/manifest.json;tests/stata/test-f010.do;reports/implementation-status.md,"Panel and true repeated-cross-section dr/reg/ipw method-boundary point and analytical-SE fixture passed for no-covariate and numeric-covariate cells on Stata 17 MP; staggered all-method nevertreated/notyettreated control-group grid passed for panel and repeated-cross-section paths, including repeated-cross-section no-covariate notyettreated SE parity; soft-deprecated legacy aliases dripw -> dr and stdipw -> ipw pass exact canonical-matrix checks; deeper native DRDID dependency boundary remains tracked by F033"
F011,estimator,Covariates,true,core,R did 2.5.1,F011,Covariate formula and timing,F011,tests/stata/test-f011.do,tests/fixtures/parity/f011,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f011/metadata/manifest.json;tests/stata/test-f011.do;reports/implementation-status.md,"Panel and true repeated-cross-section dr/reg/ipw covariate fixture passed on Stata 17 MP for numeric time-varying covariates, factor expansion, numeric interactions, and squared transformed covariate terms; inherited RT019 dense and sparse factor boundaries pass: dense factor variables match manually expanded dummies, and rank-deficient sparse factor/manual-dummy designs emit R-style singular warnings with missing ATT/SE cells; broader inherited nuisance and native DRDID dependency stress remain tracked by RT/PY rows and F033"
